"Reference","Qty","Value","Footprint"
"C1","1","1u","0805"
"C2,C4","2","10p","0805"
"C3,C5","2","330p","0805"
"C6","1","100p","0805"
"C7,C8,C9,C10,C11,C12,C13,C14","8","100n","0805"
"C15,C16","2","10u","Radial D5.0mm P2.50mm"
"D1,D2","2","B140-E3","SMA"
"J1,J2,J3,J4,J5,J6,J7,J8","8","WQP-PJ301M-12","QingPu WQP-PJ301M-12 Vertical"
"J9","1","IDC Header 10P","IDC-Header 2x05 P2.54mm Vertical"
"Q1","1","DMMT5401","SOT-23-6"
"R1,R2,R4,R6,R11,R14,R16,R18","8","100k","0805"
"R3","1","22k","0805"
"R5,R10,R19,R20","4","1k","0805"
"R7,R8,R13,R15,R28","5","220R","0805"
"R9,R17,R27","3","15k","0805"
"R12","1","47R","0805"
"R21,R22","2","10k","0805"
"R23,R24,R25,R26","4","82k","0805"
"R29","1","560k","0805"
"R30","1","4k7","0805"
"R31,R32","2","10R","0805"
"R33,R34","2","1M0","0805"
"RV1,RV2,RV3,RV4,RV5","5","B100k","Bourns PTV09A-1 Vertical"
"RV6","1","100R","Bourns TC33X Vertical"
"RV7,RV8","2","100k","Bourns 3296W"
"TH1","1","2k, 3900ppm/C","0805"
"U1","1","TL074","SOIC-14"
"U2","1","LM13700","SOIC-16"
"U3","1","TL072","SOIC-8"
